id_pedido,id_item,descricao,qtd,preco_unitario,preco_baseline
PC000051,3,Perfuratriz hidráulica de superfície,1,703196.81,824095.86
PC000051,4,Perfuratriz hidráulica de superfície,3,731364.68,689371.8
PC000052,1,Locação de caminhão fora de estrada,1,32482.17,30204.99
PC000052,2,Transporte de equipamento pesado,3,13234.07,14139.13
PC000052,3,Transporte de equipamento pesado,4,80260.24,78542.26
PC000053,1,Cone de britagem,5,37067.64,34799.95
PC000053,2,Mandíbula fixa para britador,1,44038.65,47171.13
PC000053,3,Rolamento de britador,6,23371.68,22207.26
PC000053,4,Rolamento de britador,8,46529.22,54521.15
PC000054,1,Tambor de acionamento,5,8090.06,9048.47
PC000054,2,Tambor de acionamento,8,16957.95,15661.61
PC000054,3,Emenda de correia vulcanizada,8,2600.92,2495.35
PC000054,4,Emenda de correia vulcanizada,5,16641.29,16527.53
PC000054,5,Correia transportadora EP630 3 lonas,6,13817.8,13557.52
PC000055,1,Rolamento de britador,7,55080.44,57372.29
PC000055,2,Eixo principal de britador,6,29227.95,27344.7
PC000055,3,Mandíbula fixa para britador,6,29557.37,28697.77
PC000056,1,Óculos de segurança ampla visão,370,166.13,160.63
PC000056,2,Respirador semifacial,112,52.65,49.94
PC000056,3,Protetor auricular tipo plug,237,389.59,349.06
PC000057,1,Transporte de equipamento pesado,5,23042.39,21042.36
PC000057,2,Locação de caminhão fora de estrada,4,6263.1,5997.59
PC000057,3,Frete de cargas indivisíveis,2,47467.1,50508.08
PC000058,1,Pneu OTR 40.00R57,6,48190.25,55249.92
PC000058,2,Pneu OTR 27.00R49,2,49475.34,49148.52
PC000058,3,Pneu OTR 40.00R57,5,27219.62,29017.11
PC000058,4,Pneu OTR 27.00R49,3,89157.63,86218.79
PC000059,1,Punho de perfuração,3,274549.84,252697.58
PC000059,2,Perfuratriz hidráulica de superfície,2,1125002.35,1023633.6
PC000059,3,Haste de perfuração T45,1,139978.33,130917.22
PC000059,4,Punho de perfuração,3,579243.15,546577.2
PC000059,5,Compressor para perfuração,2,757524.0,798936.16
PC000060,1,Cone de britagem,3,26391.19,24254.29
PC000060,2,Cone de britagem,7,13423.24,14799.84
PC000060,3,Mandíbula fixa para britador,4,30571.83,32256.57
PC000060,4,Manta de revestimento de britador,1,20781.94,23091.02
PC000061,1,Rolamento de britador,5,31454.85,33863.25
PC000061,2,Rolamento de britador,4,18677.69,19187.51
PC000061,3,Manta de revestimento de britador,8,22082.3,22858.92
PC000061,4,Rolamento de britador,5,47842.95,45830.42
PC000062,1,Câmara de ar para pneu OTR,6,59976.02,61995.11
PC000062,2,Protetor de pneu OTR,3,55909.76,58163.89
PC000062,3,Protetor de pneu OTR,5,18541.71,20898.35
PC000062,4,Câmara de ar para pneu OTR,5,54052.09,50903.18
PC000062,5,Câmara de ar para pneu OTR,5,36834.81,40934.16
PC000063,1,Tambor de acionamento,6,8595.71,9284.13
PC000064,1,Punho de perfuração,1,906137.24,887968.13
PC000064,2,Perfuratriz hidráulica de superfície,2,246438.89,245508.79
PC000064,3,Haste de perfuração T45,1,97193.23,101209.85
PC000064,4,Perfuratriz hidráulica de superfície,2,678372.48,642037.85
PC000064,5,Compressor para perfuração,3,220043.76,234652.38
PC000065,1,Luva de raspa de couro,257,66.92,73.75
PC000065,2,Luva de raspa de couro,492,321.12,340.74
PC000065,3,Respirador semifacial,363,232.83,249.11
PC000065,4,Óculos de segurança ampla visão,150,113.36,106.42
PC000065,5,Capacete de segurança classe B,429,128.26,126.04
PC000066,1,Perfuratriz hidráulica de superfície,3,396174.17,383668.65
PC000066,2,Punho de perfuração,3,885597.72,909797.89
PC000067,1,Placa de desgaste do britador,1,59257.19,58154.98
PC000067,2,Cone de britagem,8,28057.22,32827.32
PC000067,3,Eixo principal de britador,5,42033.14,41586.69
PC000068,1,"Bit de perfuração 4 1/2""",2,849545.02,962515.91
PC000069,1,Inspeção preditiva por análise de vibração,4,98088.64,107264.9
PC000069,2,Inspeção preditiva por análise de vibração,2,86737.58,98013.6
PC000069,3,Reforma de redutor industrial,2,6233.4,6619.68
PC000069,4,Serviço de solda especializada,2,78921.82,75259.77
PC000069,5,Reforma de redutor industrial,3,15306.89,14974.84
PC000070,1,Placa de desgaste do britador,1,20505.18,21600.76
PC000070,2,Placa de desgaste do britador,2,28684.58,32200.54
PC000070,3,Cone de britagem,5,48849.82,43895.1
PC000070,4,Placa de desgaste do britador,4,18620.57,19394.69
PC000071,1,Protetor auricular tipo plug,457,294.85,277.28
PC000071,2,Bota de segurança com biqueira,49,280.61,321.7
PC000071,3,Bota de segurança com biqueira,113,191.09,203.86
PC000071,4,Capacete de segurança classe B,236,43.18,47.75
PC000071,5,Bota de segurança com biqueira,470,192.48,182.55
PC000072,1,Óculos de segurança ampla visão,428,8.76,9.03
PC000072,2,Capacete de segurança classe B,186,249.32,247.53
PC000072,3,Luva de raspa de couro,488,162.1,169.45
PC000073,1,Câmara de ar para pneu OTR,1,71502.7,67156.59
PC000073,2,Pneu OTR 40.00R57,1,32807.88,30850.1
PC000073,3,Protetor de pneu OTR,1,76469.99,72444.92
PC000073,4,Pneu OTR 40.00R57,5,41688.66,45307.91
PC000074,1,Óleo hidráulico ISO VG 68,57,88.37,83.88
PC000074,2,Graxa de lítio EP2,67,691.89,672.97
PC000075,1,Óleo de motor 15W40,177,641.84,741.08
PC000075,2,Óleo de motor 15W40,61,351.13,386.87
PC000075,3,Fluido refrigerante concentrado,193,864.8,822.63
PC000075,4,Óleo de motor 15W40,17,946.3,875.75
PC000075,5,Graxa de lítio EP2,86,657.1,634.27
PC000076,1,Booster 450g,297,270.85,254.65
PC000077,1,Bota de segurança com biqueira,380,271.53,291.66
PC000077,2,Bota de segurança com biqueira,318,18.85,21.53
PC000077,3,Protetor auricular tipo plug,380,226.43,237.64
PC000077,4,Respirador semifacial,165,287.74,335.3
PC000077,5,Respirador semifacial,70,292.34,263.43
PC000078,1,Rolamento de britador,6,20798.47,24037.96
PC000078,2,Cone de britagem,2,54293.06,49746.46
PC000078,3,Manta de revestimento de britador,4,29117.92,27276.66
PC000078,4,Placa de desgaste do britador,3,9463.21,8843.43
PC000078,5,Eixo principal de britador,7,22184.78,23350.0
PC000079,1,Locação de caminhão fora de estrada,2,57410.83,59690.69
PC000079,2,Frete rodoviário de minério,4,20125.26,17987.63
PC000079,3,Frete rodoviário de minério,5,7315.87,6570.61
PC000079,4,Transporte de equipamento pesado,1,36323.32,35341.81
PC000080,1,Motor elétrico 250cv,1,24091.38,24043.12
PC000081,1,Óleo de engrenagem ISO 320,139,141.56,155.29
PC000082,1,"Cabo de potência 0,6/1kV 240mm²",22,31742.97,37297.18
PC000082,2,"Cabo de potência 0,6/1kV 240mm²",3,16853.43,18356.47
PC000082,3,Motor elétrico 250cv,23,8288.18,7877.98
PC000083,1,Motor elétrico 250cv,16,13358.98,12345.06
PC000083,2,Motor elétrico 250cv,29,25055.68,24527.78
PC000083,3,Inversor de frequência 75kW,1,47180.17,43273.82
PC000083,4,Inversor de frequência 75kW,30,3459.86,3646.8
PC000083,5,Disjuntor caixa moldada 400A,22,35592.11,40364.35
PC000084,1,Protetor auricular tipo plug,319,283.9,271.0
PC000084,2,Luva de raspa de couro,25,237.03,224.87
PC000084,3,Bota de segurança com biqueira,192,188.44,197.14
PC000085,1,Mandíbula fixa para britador,3,44889.26,46462.08
PC000085,2,Mandíbula fixa para britador,5,31508.11,31126.26
PC000085,3,Mandíbula fixa para britador,3,32280.99,30410.93
PC000085,4,Cone de britagem,1,13567.04,12660.18
PC000086,1,Câmara de ar para pneu OTR,5,29060.5,30209.97
PC000086,2,Protetor de pneu OTR,3,49411.37,53504.92
PC000086,3,Pneu OTR 40.00R57,3,50077.57,52864.65
PC000086,4,Pneu OTR 27.00R49,6,64480.83,63002.43
PC000086,5,Protetor de pneu OTR,2,41527.45,39935.38
PC000087,1,Booster 450g,318,534.38,569.0
PC000087,2,Estopim de segurança,173,194.17,183.37
PC000087,3,Espoleta eletrônica,134,178.75,203.62
PC000088,1,Rolamento de britador,8,49890.28,49479.65
PC000088,2,Manta de revestimento de britador,8,14432.04,15237.31
PC000089,1,Transformador a seco 500kVA,2,30764.6,35624.3
PC000089,2,Motor elétrico 250cv,20,25336.66,28790.48
PC000089,3,Inversor de frequência 75kW,6,24869.94,29185.59
PC000089,4,"Cabo de potência 0,6/1kV 240mm²",25,15246.94,15055.53
PC000089,5,Transformador a seco 500kVA,9,10824.99,10145.65
PC000090,1,Correia transportadora EP630 3 lonas,8,4413.57,3956.91
PC000091,1,Emulsão explosiva bombeada,379,396.81,421.7
PC000091,2,Cordel detonante 10g/m,21,552.87,511.32
PC000091,3,Estopim de segurança,389,149.08,155.42
PC000091,4,Cordel detonante 10g/m,228,533.76,575.58
PC000092,1,Bomba de polpa 8/6,7,29456.29,28746.42
PC000092,2,Bomba centrífuga multiestágio,10,9578.44,9368.26
PC000092,3,Selo mecânico para bomba de polpa,4,28973.11,33384.65
PC000092,4,Bomba centrífuga multiestágio,6,45810.07,42795.53
PC000092,5,Bomba centrífuga multiestágio,6,65389.62,59572.45
PC000093,1,Rolamento de britador,3,35134.7,34562.89
PC000093,2,Placa de desgaste do britador,7,19128.65,17659.19
PC000093,3,Cone de britagem,3,37475.93,36855.45
PC000093,4,Rolamento de britador,8,44802.07,40209.32
PC000094,1,Emulsão explosiva bombeada,373,510.88,505.86
PC000094,2,Espoleta eletrônica,399,134.7,141.67
PC000094,3,Booster 450g,96,514.75,471.08
PC000094,4,Estopim de segurança,291,322.39,312.35
PC000095,1,Emenda de correia vulcanizada,1,10545.94,12068.71
PC000095,2,Raspador de correia primário,2,17253.7,19727.34
PC000095,3,Rolete de carga,12,10479.39,9739.82
PC000096,1,Óleo de engrenagem ISO 320,157,441.06,496.42
PC000096,2,Óleo hidráulico ISO VG 68,151,289.55,258.93
PC000096,3,Óleo de engrenagem ISO 320,39,963.07,867.43
PC000097,1,Emenda de correia vulcanizada,8,5205.74,4841.03
PC000097,2,Emenda de correia vulcanizada,8,3576.77,3274.63
PC000097,3,Emenda de correia vulcanizada,9,21133.31,19120.36
PC000097,4,Correia transportadora EP630 3 lonas,8,8082.48,9191.3
PC000098,1,Bota de segurança com biqueira,263,103.89,99.84
PC000098,2,Respirador semifacial,76,209.94,201.62
PC000099,1,Graxa de lítio EP2,5,999.54,892.86
PC000099,2,Óleo hidráulico ISO VG 68,171,319.54,289.13
PC000099,3,Graxa de lítio EP2,172,304.17,340.38
PC000099,4,Graxa de lítio EP2,18,330.56,371.8
PC000100,1,Rolamento de britador,8,9314.7,8482.92
PC000100,2,Mandíbula fixa para britador,3,31802.22,32840.41
PC000100,3,Manta de revestimento de britador,2,24694.05,24294.28
PC000101,1,Placa de desgaste do britador,4,37670.73,40660.16
PC000101,2,Mandíbula fixa para britador,8,50975.17,52718.05
PC000101,3,Manta de revestimento de britador,7,28774.58,26279.85
PC000101,4,Placa de desgaste do britador,5,37445.89,41520.27
PC000102,1,Rolamento de britador,1,50158.05,48757.68
PC000102,2,Mandíbula fixa para britador,2,20711.25,20536.25
PC000102,3,Eixo principal de britador,6,49102.94,56564.07
PC000102,4,Mandíbula fixa para britador,7,29472.81,27001.45
PC000103,1,Manutenção corretiva de bomba de polpa,4,57839.63,53711.15
PC000103,2,Reforma de redutor industrial,2,33717.3,36908.79
PC000103,3,Serviço de manutenção preventiva de britador,2,59852.45,66684.87
PC000103,4,Serviço de manutenção preventiva de britador,3,94017.03,85347.73
PC000103,5,Manutenção corretiva de bomba de polpa,2,15725.89,14914.47
PC000104,1,"Bit de perfuração 4 1/2""",2,1255184.03,1147378.15
PC000104,2,Perfuratriz hidráulica de superfície,1,548533.86,496493.76
PC000105,1,Concreto refratário denso,121,1142.74,1316.09
PC000105,2,Tijolo refratário sílico-aluminoso,99,510.13,460.69
PC000105,3,Tijolo refratário sílico-aluminoso,63,1626.19,1872.69
PC000105,4,Concreto refratário denso,67,164.57,191.28
PC000106,1,Pneu OTR 27.00R49,1,52789.99,59150.59
PC000106,2,Protetor de pneu OTR,2,34257.09,34069.32
PC000106,3,Câmara de ar para pneu OTR,1,88675.37,81143.37
PC000107,1,Manta de revestimento de britador,8,30401.05,27150.23
PC000107,2,Eixo principal de britador,4,15874.87,15829.45
PC000107,3,Cone de britagem,6,41116.27,41068.98
PC000108,1,Bomba centrífuga multiestágio,7,30369.27,35711.95
PC000108,2,"Válvula borboleta 24""",2,4753.51,5463.27
PC000109,1,Luva de raspa de couro,313,225.58,202.19
PC000110,1,Raspador de correia primário,5,7104.03,6989.86
PC000110,2,Emenda de correia vulcanizada,2,4736.95,5152.15
PC000110,3,Tambor de acionamento,2,14445.41,14094.23
PC000110,4,Tambor de acionamento,8,7414.8,7727.69
PC000111,1,Reforma de redutor industrial,3,47592.21,50568.11
PC000111,2,Manutenção corretiva de bomba de polpa,1,122129.32,114491.11
PC000112,1,Perfuratriz hidráulica de superfície,1,900319.25,1002514.23
PC000112,2,Perfuratriz hidráulica de superfície,3,743079.94,736453.0
PC000113,1,Booster 450g,246,43.94,41.77
PC000114,1,"Bit de perfuração 4 1/2""",1,122311.51,118807.38
PC000114,2,"Bit de perfuração 4 1/2""",2,545393.19,541431.27
PC000114,3,Punho de perfuração,2,202153.13,233704.34
PC000114,4,Compressor para perfuração,1,861457.25,786444.92
PC000115,1,Motor elétrico 250cv,6,1372.43,1367.62
PC000115,2,Transformador a seco 500kVA,2,37990.14,36427.69
PC000115,3,Motor elétrico 250cv,8,39214.5,43834.3
PC000116,1,Cone de britagem,3,17946.72,20300.66
PC000116,2,Manta de revestimento de britador,1,40398.23,44579.55
PC000116,3,Eixo principal de britador,4,57506.2,51508.24
PC000117,1,Cone de britagem,1,27693.72,25250.17
PC000117,2,Mandíbula fixa para britador,3,57942.44,55776.6
PC000117,3,Eixo principal de britador,3,42081.6,38503.68
PC000117,4,Rolamento de britador,6,49694.22,57949.06
PC000117,5,Placa de desgaste do britador,2,21756.03,25501.18
PC000118,1,Respirador semifacial,350,196.88,209.42
PC000118,2,Bota de segurança com biqueira,160,57.42,51.55
PC000119,1,Manta de revestimento de britador,2,50078.94,56707.77
PC000119,2,Mandíbula fixa para britador,6,51102.02,59083.74
PC000119,3,Mandíbula fixa para britador,6,29587.32,31224.76
PC000120,1,"Válvula borboleta 24""",8,57752.88,62019.52
PC000120,2,Bomba de polpa 8/6,10,47346.91,46440.45
PC000120,3,Bomba de polpa 8/6,1,19186.18,22406.33
PC000120,4,Selo mecânico para bomba de polpa,6,12371.95,13982.1
PC000121,1,Graxa de lítio EP2,116,154.88,162.47
PC000121,2,Óleo de engrenagem ISO 320,109,690.68,635.05
PC000121,3,Óleo de motor 15W40,174,264.15,271.33
PC000121,4,Fluido refrigerante concentrado,145,709.03,759.87
PC000121,5,Graxa de lítio EP2,27,303.09,282.73
PC000122,1,Protetor de pneu OTR,4,53796.95,53214.97
PC000122,2,Pneu OTR 27.00R49,2,42734.65,44713.48
PC000122,3,Pneu OTR 27.00R49,3,43263.93,49661.31
PC000122,4,Câmara de ar para pneu OTR,2,72903.1,72160.93
PC000123,1,Serviço de manutenção preventiva de britador,2,51560.07,59770.16
PC000123,2,Reforma de redutor industrial,2,19223.11,18832.42
PC000123,3,Serviço de solda especializada,2,90621.21,97972.98
PC000123,4,Inspeção preditiva por análise de vibração,2,131665.68,119685.96
PC000123,5,Serviço de solda especializada,3,110625.01,109742.52
PC000124,1,Frete rodoviário de minério,4,16447.71,15372.82
PC000125,1,Bomba de polpa 8/6,5,30427.52,28355.43
PC000125,2,"Válvula borboleta 24""",3,18999.86,21090.45
PC000125,3,Bomba de polpa 8/6,1,31636.9,29216.01
PC000125,4,Bomba centrífuga multiestágio,8,64813.34,64656.36
PC000126,1,Haste de perfuração T45,2,411323.28,381750.38
PC000126,2,Punho de perfuração,2,344921.33,316757.36
PC000126,3,"Bit de perfuração 4 1/2""",2,1018607.39,999539.48
PC000126,4,Punho de perfuração,3,562988.46,647610.71
PC000127,1,Bomba de polpa 8/6,5,28667.18,27363.76
PC000127,2,"Válvula borboleta 24""",1,19838.88,18830.82
PC000128,1,Rolete de carga,1,9585.2,10584.29
PC000128,2,Emenda de correia vulcanizada,4,17253.11,16713.43
PC000128,3,Correia transportadora EP630 3 lonas,9,2152.8,1971.23
PC000129,1,Inversor de frequência 75kW,23,45736.13,43522.7
PC000129,2,Transformador a seco 500kVA,28,14545.78,15822.17
PC000129,3,Motor elétrico 250cv,27,28162.36,28137.55
PC000130,1,Espoleta eletrônica,151,183.28,165.55
PC000130,2,Estopim de segurança,106,110.97,100.16
PC000130,3,Booster 450g,216,435.05,400.39
PC000131,1,Bota de segurança com biqueira,427,74.9,72.95
PC000131,2,Bota de segurança com biqueira,336,298.72,276.43
PC000131,3,Luva de raspa de couro,163,328.38,297.13
PC000131,4,Bota de segurança com biqueira,160,39.16,41.38
PC000131,5,Respirador semifacial,400,354.68,320.12
PC000132,1,Estopim de segurança,160,277.01,284.69
PC000132,2,Estopim de segurança,307,490.32,567.25
PC000132,3,Emulsão explosiva bombeada,71,491.4,522.09
PC000132,4,Estopim de segurança,87,85.98,92.77
PC000132,5,Emulsão explosiva bombeada,244,98.3,96.22
PC000133,1,Selo mecânico para bomba de polpa,3,35922.0,35546.45
PC000133,2,"Válvula borboleta 24""",7,50503.35,45260.41
PC000133,3,Bomba de polpa 8/6,1,4700.76,5046.46
PC000133,4,Bomba de polpa 8/6,6,53702.43,53587.22
PC000133,5,Bomba de polpa 8/6,4,18438.56,17772.94
PC000134,1,Disjuntor caixa moldada 400A,20,25632.06,23680.47
PC000134,2,Disjuntor caixa moldada 400A,11,48862.07,44827.02
PC000134,3,Disjuntor caixa moldada 400A,30,42468.62,41335.6
PC000134,4,Motor elétrico 250cv,7,33757.57,33086.63
PC000134,5,Motor elétrico 250cv,23,25413.53,29344.21
PC000135,1,Manta de revestimento de britador,8,29354.26,27773.2
PC000135,2,Placa de desgaste do britador,4,45745.3,44149.99
PC000135,3,Manta de revestimento de britador,2,38258.0,42449.11
PC000135,4,Mandíbula fixa para britador,7,45386.52,51193.94
PC000136,1,Manta de revestimento de britador,7,21383.88,23358.26
PC000136,2,Mandíbula fixa para britador,8,22488.04,25191.39
PC000136,3,Placa de desgaste do britador,8,14392.32,15755.51
PC000137,1,"Bit de perfuração 4 1/2""",1,1092084.67,990759.82
PC000138,1,Placa de desgaste do britador,6,56270.68,54515.44
PC000138,2,Rolamento de britador,2,26423.7,27376.35
PC000138,3,Rolamento de britador,8,19244.73,22135.32
PC000138,4,Manta de revestimento de britador,3,13976.61,13878.94
PC000139,1,"Válvula gaveta 12""",10,4892.39,4445.1
PC000139,2,Bomba de polpa 8/6,8,59878.92,64626.86
PC000139,3,Selo mecânico para bomba de polpa,2,17909.26,20158.87
PC000140,1,Protetor de pneu OTR,6,75919.51,70318.94
PC000140,2,Pneu OTR 27.00R49,2,87704.75,78410.38
PC000140,3,Protetor de pneu OTR,1,55939.99,64324.71
PC000140,4,Câmara de ar para pneu OTR,2,24066.44,23390.3
PC000141,1,Frete de cargas indivisíveis,4,11094.94,10689.51
